paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.13,0.07,0.57,0.62,0.08,0.2,0.26,0.01,0.18,0.31,0.0
2,0.16,0.13,0.55,0.61,0.0,0.17,0.27,0.0,0.12,0.26,0.0
3,0.15,0.13,0.54,0.66,0.0,0.22,0.32,0.01,0.12,0.26,0.0
4,0.13,0.15,0.55,0.59,0.0,0.18,0.28,0.03,0.17,0.32,0.0
5,0.18,0.11,0.56,0.64,0.0,0.19,0.19,0.07,0.03,0.19,0.0
6,0.17,0.14,0.54,0.62,0.0,0.2,0.24,0.0,0.16,0.29,0.0
7,0.13,0.12,0.48,0.61,0.0,0.22,0.23,0.01,0.21,0.27,0.01
8,0.14,0.1,0.58,0.62,0.0,0.23,0.27,0.0,0.12,0.3,0.0
9,0.17,0.13,0.54,0.63,0.0,0.26,0.28,0.01,0.13,0.31,0.0
10,0.16,0.13,0.51,0.62,0.0,0.21,0.3,0.0,0.09,0.32,0.0
11,0.16,0.12,0.52,0.62,0.0,0.25,0.24,0.0,0.17,0.29,0.02
12,0.26,0.12,0.52,0.6,0.0,0.18,0.29,0.01,0.13,0.3,0.0
13,0.2,0.09,0.54,0.66,0.03,0.23,0.21,0.09,0.17,0.25,0.0
14,0.13,0.13,0.54,0.68,0.0,0.2,0.3,0.01,0.18,0.33,0.0
15,0.15,0.12,0.56,0.6,0.0,0.24,0.25,0.02,0.14,0.29,0.02
16,0.15,0.1,0.55,0.63,0.0,0.23,0.26,0.0,0.17,0.27,0.0
17,0.14,0.14,0.51,0.6,0.0,0.18,0.26,0.0,0.2,0.32,0.0
18,0.13,0.19,0.48,0.61,0.03,0.13,0.19,0.01,0.14,0.27,0.01
19,0.18,0.12,0.51,0.61,0.0,0.25,0.28,0.01,0.2,0.33,0.01
20,0.17,0.11,0.56,0.63,0.0,0.22,0.25,0.01,0.14,0.25,0.0
21,0.19,0.14,0.51,0.65,0.0,0.23,0.25,0.0,0.16,0.34,0.01
22,0.13,0.16,0.51,0.63,0.0,0.23,0.27,0.01,0.24,0.26,0.0
