paraphrase idx,t0_3b_acc,t0pp_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc
default,0.334660351,0.501928329,0.335074633,0.526430368,0.288131376,0.484013438,0.560151779,0.617193332,0.752363772
p1,0.331736743,0.549265981,0.355286062,0.460136831,0.294662851,0.500995272,0.574645434,0.689723812,0.795409306
p2,0.308285654,0.510077119,0.323569655,0.453109443,0.270900722,0.49079373,0.558472257,0.644563324,0.705212739
p3,0.317865133,0.519718826,0.340982586,0.487997502,0.269718836,0.462615078,0.544476238,0.675043543,0.765488928
p4,0.324334413,0.503296852,0.328669161,0.479104489,0.274197562,0.529236128,0.592062702,0.727917392,0.780977855
p5,0.309467524,0.55909431,0.305223882,0.429477602,0.277618811,0.53831799,0.544973874,0.639089326,0.714854441
p6,0.294911683,0.50143069,0.326368153,0.452300996,0.265675541,0.491789002,0.582483205,0.686053745,0.732333914
p7,0.313013196,0.435929328,0.352860689,0.442164183,0.424919134,0.406133367,0.45315999,0.495459069,0.396927096
p8,0.299950242,0.509455085,0.332089543,0.43700248,0.275379448,0.509890497,0.564257278,0.65700423,0.766795223
p9,0.322157264,0.539499879,0.331840783,0.455597013,0.266297586,0.501119682,0.56332421,0.691154516,0.786389649
p10,0.328066677,0.529795945,0.325435311,0.428669155,0.278800697,0.561893506,0.54422742,0.653769594,0.681699428
p11,0.332358807,0.521958172,0.32095772,0.43526119,0.257837771,0.553620304,0.63392635,0.783963673,0.853072904
p12,0.336402088,0.528303087,0.325497508,0.421890557,0.279422742,0.528738492,0.648544414,0.743530729,0.845546156
