paraphrase idx,t0_3b_acc,t0pp_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc
default,,0.34375,0.375,0.1875,0.1875,0.1875,0.15625,0.28125,0.46875
p1,0.1875,0.21875,0.4375,0.1875,0.21875,0.125,0.34375,0.375,0.53125
p2,,0.3125,0.375,0.15625,0.1875,0.15625,0.3125,0.25,0.40625
p3,0.15625,0.28125,0.25,0.1875,0.25,0.21875,0.375,0.25,0.46875
p4,0.1875,0.34375,0.34375,0.15625,0.21875,0.125,0.28125,0.28125,0.46875
p5,0.1875,0.25,0.34375,0.25,0.15625,0.1875,0.25,0.28125,0.40625
p6,,0.40625,0.375,0.25,0.15625,0.1875,0.1875,0.375,0.46875
p7,0.125,0.3125,0.3125,0.15625,0.15625,0.15625,0.34375,0.34375,0.375
p8,,0.34375,0.28125,0.21875,0.1875,0.1875,0.25,0.375,0.5625
p9,0.21875,0.3125,0.53125,0.15625,0.25,0.09375,0.28125,0.28125,0.4375
p10,,0.34375,0.34375,0.25,0.15625,0.21875,0.34375,0.34375,0.46875
