paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.1,0.14,0.11,0.04,0.05,0.09,0.13,0.03,0.14,0.19,0.03,0.22,0.0,0.0,0.05,0.0
2,0.1,0.12,0.17,0.04,0.01,0.04,0.11,0.02,0.16,0.08,0.06,0.17,0.0,0.0,0.17,0.0
3,0.11,0.14,0.06,0.01,0.07,0.03,0.11,0.07,0.19,0.23,0.07,0.19,0.0,0.0,0.08,0.0
4,0.15,0.15,0.0,0.01,0.0,0.02,0.12,0.04,0.22,0.29,0.31,0.17,0.0,0.0,0.0,0.0
5,0.17,0.11,0.0,0.06,0.0,0.0,0.16,0.03,0.18,0.16,0.28,0.21,0.0,0.0,0.0,0.0
6,0.13,0.14,0.0,0.03,0.02,0.01,0.11,0.05,0.24,0.24,0.3,0.23,0.0,0.0,0.0,0.0
7,0.13,0.12,0.0,0.09,0.0,0.0,0.1,0.02,0.2,0.19,0.26,0.27,0.0,0.0,0.0,0.0
8,0.17,0.12,0.0,0.0,0.01,0.0,0.17,0.03,0.2,0.25,0.31,0.09,0.0,0.0,0.0,0.0
9,0.16,0.1,0.0,0.0,0.0,0.01,0.14,0.02,0.22,0.25,0.3,0.08,0.0,0.0,0.0,0.0
10,0.16,0.14,0.0,0.01,0.01,0.0,0.19,0.08,0.18,0.19,0.29,0.19,0.0,0.0,0.0,0.0
11,0.14,0.15,0.0,0.03,0.0,0.0,0.2,0.01,0.18,0.19,0.25,0.22,0.0,0.0,0.0,0.0
12,0.16,0.11,0.0,0.0,0.0,0.0,0.12,0.1,0.21,0.21,0.25,0.2,0.0,0.0,0.0,0.0
13,0.16,0.11,0.0,0.02,0.01,0.0,0.13,0.08,0.25,0.22,0.24,0.18,0.0,0.0,0.0,0.0
14,0.16,0.11,0.02,0.01,0.01,0.03,0.14,0.11,0.19,0.25,0.23,0.19,0.0,0.0,0.0,0.0
15,0.15,0.14,0.01,0.01,0.0,0.03,0.16,0.06,0.21,0.18,0.21,0.13,0.0,0.0,0.0,0.0
16,0.16,0.15,0.0,0.06,0.0,0.0,0.13,0.07,0.18,0.2,0.28,0.22,0.0,0.0,0.0,0.0
17,0.19,0.27,0.02,0.15,0.0,0.0,0.13,0.04,0.16,0.2,0.23,0.2,0.0,0.0,0.01,0.0
18,0.19,0.09,0.01,0.02,0.01,0.01,0.12,0.08,0.24,0.22,0.26,0.21,0.0,0.0,0.0,0.0
19,0.13,0.11,0.01,0.03,0.02,0.0,0.15,0.08,0.25,0.27,0.24,0.22,0.0,0.0,0.0,0.0
20,0.15,0.13,0.01,0.02,0.0,0.0,0.14,0.03,0.26,0.18,0.29,0.12,0.0,0.0,0.0,0.0
21,0.15,0.16,0.0,0.09,0.0,0.0,0.07,0.03,0.19,0.22,0.28,0.29,0.0,0.0,0.0,0.0
22,0.16,0.18,0.0,0.15,0.0,0.01,0.09,0.07,0.21,0.2,0.28,0.17,0.0,0.0,0.0,0.0
23,0.14,0.1,0.0,0.06,0.0,0.0,0.09,0.05,0.22,0.23,0.28,0.19,0.0,0.0,0.0,0.0
24,0.15,0.13,0.0,0.09,0.0,0.0,0.08,0.04,0.2,0.28,0.26,0.22,0.0,0.0,0.0,0.0
25,0.16,0.15,0.0,0.08,0.0,0.0,0.16,0.06,0.2,0.2,0.24,0.09,0.0,0.0,0.0,0.0
26,0.12,0.13,0.0,0.0,0.07,0.0,0.08,0.02,0.26,0.11,0.08,0.01,0.0,0.0,0.06,0.0
27,0.14,0.13,0.0,0.02,0.01,0.0,0.04,0.03,0.21,0.23,0.24,0.2,0.0,0.0,0.0,0.0
28,0.2,0.14,0.0,0.0,0.0,0.0,0.14,0.02,0.21,0.28,0.34,0.19,0.0,0.0,0.0,0.0
29,0.19,0.15,0.0,0.09,0.0,0.0,0.16,0.06,0.15,0.19,0.28,0.21,0.0,0.0,0.0,0.0
30,0.25,0.29,0.05,0.03,0.0,0.0,0.22,0.05,0.25,0.21,0.23,0.1,0.0,0.0,0.0,0.0
31,0.3,0.19,0.0,0.2,0.0,0.06,0.14,0.06,0.2,0.22,0.28,0.13,0.0,0.0,0.0,0.0
32,0.15,0.22,0.0,0.0,0.0,0.0,0.17,0.04,0.23,0.22,0.28,0.08,0.0,0.0,0.0,0.0
33,0.19,0.11,0.02,0.0,0.0,0.0,0.14,0.03,0.23,0.23,0.23,0.13,0.0,0.0,0.0,0.0
34,0.19,0.16,0.0,0.02,0.0,0.0,0.18,0.12,0.2,0.24,0.22,0.24,0.0,0.0,0.0,0.0
35,0.15,0.21,0.11,0.05,0.0,0.0,0.07,0.05,0.24,0.22,0.21,0.0,0.0,0.0,0.0,0.0
36,0.15,0.19,0.0,0.06,0.0,0.0,0.07,0.03,0.26,0.15,0.14,0.13,0.0,0.0,0.0,0.0
37,0.14,0.12,0.01,0.02,0.05,0.01,0.13,0.16,0.17,0.28,0.29,0.16,0.0,0.0,0.0,0.0
38,0.12,0.19,0.0,0.03,0.02,0.0,0.18,0.05,0.22,0.19,0.26,0.13,0.0,0.0,0.0,0.0
39,0.14,0.16,0.01,0.04,0.0,0.0,0.16,0.03,0.28,0.22,0.24,0.08,0.0,0.0,0.0,0.0
40,0.19,0.22,0.04,0.14,0.0,0.02,0.21,0.05,0.24,0.2,0.23,0.05,0.05,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.16,0.13,0.0,0.16,0.0,0.0,0.12,0.03,0.17,0.23,0.19,0.09,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.16,0.15,0.01,0.07,0.0,0.0,0.09,0.04,0.24,0.24,0.18,0.11,0.0,0.0,0.0,0.0
45,0.16,0.12,0.0,0.01,0.0,0.01,0.13,0.02,0.23,0.17,0.31,0.11,0.0,0.0,0.0,0.0
46,0.26,0.16,0.01,0.15,0.0,0.0,0.16,0.11,0.19,0.24,0.24,0.13,0.0,0.0,0.0,0.0
47,0.15,0.13,0.0,0.01,0.0,0.0,0.12,0.14,0.22,0.3,0.28,0.13,0.0,0.0,0.0,0.0
48,0.13,0.17,0.0,0.17,0.04,0.01,0.03,0.04,0.21,0.15,0.26,0.1,0.0,0.0,0.02,0.0
49,0.27,0.13,0.0,0.28,0.02,0.01,0.13,0.07,0.23,0.24,0.24,0.19,0.0,0.0,0.0,0.0
50,0.16,0.12,0.02,0.02,0.0,0.0,0.14,0.08,0.23,0.24,0.19,0.15,0.0,0.0,0.0,0.0
51,0.17,0.13,0.01,0.0,0.01,0.02,0.13,0.04,0.22,0.29,0.32,0.19,0.0,0.0,0.0,0.0
52,0.15,0.12,0.0,0.02,0.0,0.0,0.16,0.06,0.26,0.23,0.19,0.1,0.0,0.0,0.0,0.0
53,0.14,0.11,0.02,0.16,0.0,0.0,0.1,0.07,0.19,0.19,0.2,0.2,0.0,0.0,0.0,0.0
54,0.29,0.13,0.0,0.19,0.0,0.0,0.19,0.1,0.19,0.32,0.23,0.13,0.0,0.0,0.0,0.0
55,0.14,0.15,0.0,0.02,0.01,0.0,0.13,0.12,0.2,0.21,0.27,0.22,0.0,0.0,0.0,0.0
56,0.19,0.14,0.01,0.14,0.0,0.0,0.21,0.14,0.17,0.14,0.25,0.11,0.0,0.0,0.0,0.0
57,0.15,0.12,0.0,0.23,0.0,0.0,0.1,0.07,0.2,0.19,0.26,0.1,0.01,0.0,0.0,0.0
58,0.14,0.23,0.02,0.15,0.05,0.01,0.27,0.15,0.22,0.23,0.28,0.05,0.0,0.0,0.0,0.0
59,0.16,0.14,0.04,0.0,0.01,0.06,0.18,0.17,0.16,0.23,0.29,0.22,0.0,0.0,0.0,0.0
60,0.11,0.28,0.1,0.14,0.0,0.0,0.26,0.29,0.22,0.23,0.15,0.04,0.0,0.0,0.0,0.0
61,0.15,0.12,0.0,0.0,0.0,0.0,0.18,0.23,0.23,0.33,0.31,0.2,0.0,0.0,0.0,0.0
62,0.21,0.24,0.09,0.03,0.0,0.0,0.33,0.13,0.27,0.19,0.26,0.19,0.0,0.0,0.0,0.0
63,0.19,0.15,0.02,0.02,0.0,0.0,0.12,0.08,0.14,0.28,0.32,0.25,0.0,0.0,0.0,0.0
