paraphrase idx,t0_3b_acc,t0pp_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc
default,0.296000004,0.456,0.196428567,0.275793642,0.198,0.224000007,0.39,0.53,0.588
p1,0.282000005,0.449999988,0.246031746,0.303571433,0.206,0.282000005,0.478,0.526,0.572
p2,,0.444000006,0.257936507,0.271825403,0.194,0.312000006,0.458,0.52,0.582
p3,0.270000011,0.433999985,0.224206343,0.25,0.2,0.273999989,0.462,0.534,0.584
p4,,0.442000002,0.271825403,0.283730149,0.202000007,0.291999996,0.48,0.512,0.578
p5,0.284000009,0.477999985,0.234126985,0.271825403,0.2,0.326000005,0.462,0.498,0.57
p6,,0.456,0.259920627,0.295634925,0.194,0.270000011,0.478,0.528,0.578
p7,0.312000006,0.469999999,0.244047612,0.283730149,0.198,0.298000008,0.464,0.526,0.58
p8,0.286000013,0.44600001,0.25,0.293650806,0.194,0.312000006,0.49,0.514,0.568
p9,0.284000009,0.453999996,0.269841284,0.265873015,0.196,0.282000005,0.474,0.516,0.576
