paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.14,0.09,0.0,0.16,0.0,0.45,0.1,0.11,0.13,0.16,0.17,0.27,0.2,0.05,0.21,0.1
2,0.1,0.11,0.03,0.23,0.02,0.47,0.15,0.04,0.05,0.06,0.25,0.34,0.15,0.06,0.18,0.04
3,0.12,0.1,0.02,0.05,0.0,0.56,0.07,0.05,0.09,0.09,0.17,0.21,0.06,0.01,0.19,0.06
4,0.12,0.16,0.0,0.11,0.05,0.21,0.12,0.06,0.13,0.09,0.22,0.15,0.1,0.04,0.05,0.03
5,0.1,0.11,0.03,0.15,0.15,0.16,0.04,0.06,0.15,0.07,0.25,0.3,0.19,0.09,0.06,0.14
6,0.1,0.13,0.02,0.05,0.06,0.52,0.02,0.08,0.08,0.15,0.29,0.13,0.08,0.07,0.07,0.06
7,0.08,0.13,0.03,0.19,0.03,0.19,0.23,0.07,0.1,0.11,0.18,0.3,0.12,0.07,0.1,0.1
8,0.12,0.22,0.01,0.06,0.08,0.12,0.07,0.06,0.11,0.13,0.2,0.2,0.07,0.05,0.06,0.06
9,0.17,0.13,0.03,0.09,0.01,0.41,0.09,0.1,0.12,0.11,0.17,0.11,0.09,0.05,0.11,0.07
10,0.09,0.13,0.03,0.13,0.0,0.55,0.16,0.14,0.11,0.11,0.21,0.25,0.07,0.07,0.16,0.07
11,0.08,0.16,0.02,0.03,0.02,0.11,0.16,0.08,0.06,0.05,0.11,0.17,0.15,0.09,0.03,0.1
12,0.09,0.09,0.06,0.16,0.0,0.53,0.14,0.12,0.14,0.1,0.16,0.27,0.09,0.05,0.18,0.07
13,0.13,0.09,0.02,0.16,0.02,0.62,0.22,0.14,0.13,0.11,0.25,0.25,0.13,0.08,0.24,0.07
14,0.1,0.08,0.02,0.06,0.0,0.57,0.06,0.07,0.08,0.1,0.13,0.25,0.09,0.1,0.18,0.08
15,0.11,0.11,0.01,0.05,0.01,0.28,0.03,0.04,0.04,0.09,0.12,0.06,0.1,0.03,0.1,0.05
16,0.09,0.15,0.12,0.13,0.21,0.13,0.03,0.04,0.08,0.07,0.15,0.28,0.25,0.04,0.13,0.15
17,0.11,0.15,0.04,0.15,0.13,0.18,0.18,0.08,0.09,0.08,0.2,0.28,0.15,0.08,0.22,0.06
18,0.12,0.15,0.02,0.09,0.05,0.6,0.04,0.12,0.27,0.16,0.25,0.1,0.14,0.05,0.12,0.08
19,0.05,0.08,0.03,0.08,0.01,0.49,0.11,0.06,0.09,0.09,0.22,0.27,0.05,0.06,0.14,0.05
20,0.13,0.08,0.03,0.08,0.12,0.13,0.15,0.09,0.08,0.14,0.21,0.32,0.14,0.07,0.19,0.11
21,0.12,0.07,0.03,0.11,0.0,0.54,0.16,0.11,0.09,0.17,0.2,0.29,0.19,0.07,0.14,0.11
22,0.12,0.11,0.04,0.06,0.01,0.29,0.11,0.08,0.12,0.22,0.15,0.28,0.17,0.06,0.17,0.12
23,0.11,0.17,0.02,0.1,0.13,0.13,0.08,0.1,0.11,0.1,0.19,0.13,0.17,0.08,0.02,0.04
24,0.15,0.13,0.05,0.12,0.01,0.5,0.09,0.11,0.13,0.16,0.25,0.22,0.18,0.04,0.42,0.12
25,0.06,0.11,0.07,0.09,0.09,0.18,0.11,0.09,0.12,0.12,0.2,0.21,0.19,0.04,0.08,0.11
26,0.09,0.12,0.07,0.08,0.0,0.55,0.09,0.11,0.2,0.13,0.17,0.32,0.13,0.09,0.09,0.11
27,0.1,0.17,0.05,0.06,0.1,0.15,0.05,0.08,0.14,0.14,0.19,0.25,0.22,0.08,0.12,0.14
28,0.11,0.06,0.02,0.05,0.0,0.61,0.25,0.05,0.09,0.15,0.25,0.23,0.13,0.06,0.1,0.1
29,0.14,0.12,0.07,0.03,0.01,0.67,0.16,0.07,0.11,0.11,0.15,0.27,0.15,0.05,0.19,0.05
30,0.1,0.09,0.02,0.06,0.0,0.44,0.11,0.14,0.12,0.14,0.2,0.11,0.07,0.02,0.09,0.06
31,0.12,0.11,0.01,0.08,0.0,0.0,0.09,0.07,0.12,0.1,0.17,0.21,0.09,0.01,0.03,0.07
32,0.09,0.1,0.01,0.04,0.02,0.26,0.35,0.12,0.11,0.24,0.19,0.24,0.07,0.04,0.04,0.0
33,0.07,0.15,0.04,0.05,0.13,0.22,0.25,0.07,0.13,0.29,0.22,0.16,0.09,0.03,0.0,0.06
34,0.07,0.15,0.02,0.08,0.09,0.42,0.0,0.04,0.08,0.05,0.05,0.08,0.04,0.05,0.03,0.06
35,0.13,0.15,0.02,0.07,0.0,0.55,0.15,0.11,0.16,0.08,0.2,0.23,0.13,0.01,0.15,0.08
36,0.07,0.12,0.05,0.07,0.0,0.56,0.15,0.06,0.08,0.09,0.2,0.22,0.1,0.06,0.13,0.06
37,0.11,0.15,0.03,0.06,0.0,0.58,0.03,0.05,0.17,0.12,0.24,0.26,0.17,0.05,0.15,0.07
38,0.1,0.09,0.01,0.06,0.0,0.47,0.11,0.07,0.08,0.15,0.18,0.21,0.11,0.02,0.16,0.08
39,0.06,0.11,0.04,0.08,0.0,0.59,0.22,0.09,0.1,0.03,0.24,0.22,0.1,0.09,0.16,0.09
40,0.1,0.09,0.01,0.07,0.0,0.53,0.0,0.06,0.08,0.12,0.21,0.17,0.04,0.04,0.02,0.06
41,0.13,0.13,0.01,0.03,0.0,0.32,0.06,0.08,0.06,0.08,0.11,0.16,0.05,0.02,0.02,0.08
42,0.15,0.15,0.02,0.1,0.0,0.55,0.22,0.12,0.08,0.17,0.24,0.3,0.15,0.1,0.16,0.08
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.05,0.1,0.06,0.01,0.0,0.1,0.0,0.05,0.0,0.0,0.01,0.0,0.03,0.0,0.0
45,0.12,0.09,0.03,0.09,0.0,0.52,0.16,0.16,0.15,0.13,0.2,0.32,0.15,0.06,0.06,0.07
46,0.43,0.0,0.35,0.33,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.06,0.19,0.29,0.12,0.68
47,0.13,0.07,0.04,0.06,0.0,0.55,0.21,0.14,0.17,0.15,0.26,0.23,0.19,0.06,0.15,0.06
48,0.32,0.01,0.58,0.72,0.0,0.02,0.07,0.19,0.04,0.0,0.0,0.0,0.6,0.7,0.46,0.73
49,0.06,0.19,0.03,0.06,0.0,0.49,0.27,0.12,0.17,0.14,0.21,0.24,0.13,0.06,0.19,0.1
50,0.05,0.1,0.05,0.08,0.0,0.44,0.12,0.09,0.06,0.17,0.23,0.28,0.16,0.06,0.56,0.03
51,0.11,0.1,0.04,0.06,0.0,0.53,0.19,0.07,0.16,0.17,0.2,0.33,0.22,0.05,0.11,0.06
52,0.12,0.12,0.05,0.06,0.04,0.45,0.11,0.1,0.07,0.22,0.25,0.24,0.21,0.06,0.12,0.1
53,0.1,0.14,0.03,0.07,0.0,0.58,0.22,0.09,0.15,0.08,0.15,0.23,0.14,0.05,0.17,0.12
54,0.09,0.12,0.04,0.11,0.02,0.54,0.13,0.11,0.11,0.09,0.18,0.26,0.14,0.05,0.23,0.02
55,0.08,0.16,0.03,0.03,0.01,0.53,0.11,0.08,0.2,0.11,0.3,0.3,0.13,0.06,0.17,0.13
56,0.13,0.13,0.03,0.15,0.0,0.57,0.11,0.12,0.1,0.05,0.21,0.31,0.2,0.08,0.22,0.09
57,0.14,0.06,0.07,0.07,0.0,0.61,0.21,0.07,0.06,0.18,0.19,0.34,0.12,0.06,0.15,0.03
58,0.16,0.09,0.02,0.03,0.0,0.45,0.05,0.15,0.06,0.03,0.2,0.14,0.12,0.02,0.02,0.08
59,0.11,0.12,0.02,0.12,0.0,0.67,0.14,0.09,0.14,0.09,0.19,0.27,0.12,0.04,0.18,0.06
60,0.13,0.12,0.05,0.07,0.0,0.56,0.09,0.14,0.11,0.11,0.23,0.23,0.11,0.05,0.15,0.04
61,0.15,0.09,0.02,0.11,0.03,0.52,0.26,0.06,0.1,0.08,0.22,0.28,0.15,0.04,0.22,0.05
62,0.12,0.1,0.05,0.06,0.0,0.46,0.12,0.1,0.17,0.16,0.23,0.27,0.2,0.08,0.16,0.1
63,0.11,0.11,0.05,0.1,0.0,0.56,0.25,0.1,0.1,0.14,0.21,0.28,0.1,0.03,0.1,0.08
64,0.07,0.1,0.04,0.04,0.01,0.54,0.13,0.11,0.16,0.09,0.15,0.27,0.13,0.04,0.19,0.08
65,0.09,0.14,0.04,0.12,0.0,0.58,0.25,0.09,0.16,0.09,0.15,0.22,0.14,0.05,0.24,0.08
66,0.15,0.09,0.05,0.11,0.03,0.42,0.11,0.09,0.17,0.24,0.32,0.22,0.19,0.03,0.13,0.06
67,0.1,0.13,0.02,0.15,0.0,0.61,0.14,0.14,0.11,0.16,0.2,0.33,0.1,0.06,0.13,0.13
68,0.07,0.08,0.05,0.03,0.0,0.42,0.08,0.1,0.23,0.18,0.25,0.27,0.16,0.06,0.13,0.04
69,0.18,0.11,0.09,0.19,0.01,0.57,0.02,0.15,0.08,0.07,0.19,0.36,0.17,0.12,0.17,0.1
70,0.1,0.13,0.04,0.06,0.02,0.5,0.18,0.14,0.15,0.17,0.27,0.23,0.16,0.05,0.1,0.1
71,0.12,0.14,0.02,0.15,0.0,0.58,0.2,0.08,0.14,0.18,0.15,0.24,0.13,0.05,0.18,0.08
72,0.15,0.08,0.03,0.08,0.0,0.47,0.09,0.11,0.15,0.22,0.24,0.25,0.12,0.06,0.07,0.07
73,0.17,0.12,0.01,0.15,0.0,0.52,0.09,0.13,0.19,0.11,0.2,0.25,0.18,0.1,0.18,0.06
74,0.09,0.12,0.03,0.04,0.08,0.5,0.12,0.08,0.07,0.23,0.27,0.29,0.21,0.06,0.14,0.1
75,0.11,0.1,0.02,0.05,0.0,0.33,0.07,0.09,0.11,0.08,0.18,0.12,0.1,0.02,0.03,0.06
76,0.07,0.11,0.04,0.13,0.01,0.59,0.19,0.14,0.09,0.1,0.19,0.24,0.14,0.06,0.14,0.12
77,0.13,0.1,0.04,0.04,0.01,0.58,0.17,0.03,0.13,0.14,0.21,0.25,0.15,0.05,0.2,0.03
78,0.07,0.12,0.05,0.18,0.0,0.51,0.11,0.08,0.11,0.17,0.16,0.24,0.2,0.06,0.35,0.11
79,0.11,0.12,0.03,0.17,0.04,0.48,0.09,0.09,0.12,0.17,0.23,0.17,0.15,0.06,0.1,0.05
80,0.17,0.16,0.1,0.11,0.01,0.74,0.48,0.09,0.02,0.06,0.14,0.13,0.13,0.03,0.05,0.05
81,0.13,0.07,0.0,0.05,0.01,0.31,0.1,0.05,0.11,0.08,0.09,0.18,0.09,0.09,0.16,0.07
82,0.1,0.13,0.08,0.16,0.0,0.47,0.12,0.1,0.08,0.07,0.28,0.3,0.18,0.07,0.17,0.07
83,0.17,0.1,0.04,0.13,0.0,0.5,0.09,0.09,0.11,0.14,0.19,0.29,0.12,0.06,0.14,0.11
84,0.07,0.1,0.03,0.07,0.0,0.63,0.12,0.12,0.06,0.09,0.23,0.19,0.13,0.1,0.2,0.05
85,0.11,0.16,0.04,0.1,0.0,0.51,0.1,0.05,0.12,0.07,0.18,0.34,0.15,0.08,0.17,0.04
86,0.15,0.13,0.0,0.06,0.01,0.28,0.01,0.07,0.09,0.13,0.17,0.18,0.05,0.02,0.02,0.05
87,0.1,0.16,0.05,0.05,0.0,0.56,0.16,0.04,0.09,0.07,0.18,0.3,0.16,0.03,0.26,0.08
88,0.11,0.09,0.01,0.12,0.0,0.57,0.15,0.07,0.12,0.26,0.2,0.24,0.14,0.06,0.16,0.12
89,0.11,0.12,0.03,0.11,0.02,0.58,0.18,0.15,0.12,0.1,0.22,0.28,0.11,0.04,0.27,0.08
90,0.07,0.08,0.04,0.1,0.0,0.6,0.17,0.13,0.13,0.11,0.17,0.25,0.09,0.08,0.13,0.06
91,0.12,0.14,0.02,0.1,0.0,0.61,0.04,0.1,0.12,0.08,0.11,0.2,0.03,0.05,0.05,0.04
92,0.1,0.16,0.08,0.02,0.08,0.42,0.15,0.13,0.11,0.24,0.27,0.23,0.16,0.03,0.11,0.06
93,0.08,0.08,0.03,0.11,0.0,0.46,0.12,0.08,0.12,0.18,0.21,0.28,0.23,0.07,0.13,0.11
94,0.12,0.08,0.01,0.05,0.0,0.32,0.09,0.06,0.12,0.04,0.1,0.07,0.04,0.02,0.01,0.02
95,0.13,0.13,0.04,0.1,0.0,0.51,0.33,0.11,0.16,0.14,0.17,0.3,0.14,0.07,0.12,0.12
96,0.1,0.09,0.0,0.04,0.01,0.41,0.18,0.1,0.12,0.06,0.14,0.28,0.1,0.06,0.09,0.06
97,0.09,0.09,0.02,0.05,0.01,0.54,0.2,0.1,0.08,0.09,0.17,0.2,0.13,0.03,0.09,0.04
98,0.14,0.1,0.04,0.05,0.05,0.49,0.22,0.15,0.11,0.1,0.12,0.2,0.08,0.04,0.17,0.06
99,0.1,0.1,0.01,0.02,0.0,0.28,0.04,0.13,0.04,0.0,0.12,0.06,0.05,0.01,0.03,0.03
100,0.13,0.09,0.01,0.05,0.0,0.49,0.15,0.03,0.02,0.11,0.1,0.26,0.03,0.07,0.2,0.05
101,0.13,0.11,0.02,0.05,0.0,0.38,0.1,0.05,0.08,0.1,0.16,0.17,0.14,0.03,0.03,0.06
102,0.09,0.13,0.04,0.04,0.02,0.6,0.28,0.11,0.12,0.08,0.14,0.28,0.08,0.04,0.02,0.04
103,0.1,0.08,0.03,0.1,0.0,0.6,0.21,0.15,0.22,0.15,0.26,0.29,0.18,0.05,0.18,0.08
104,0.12,0.1,0.02,0.09,0.04,0.57,0.2,0.08,0.14,0.13,0.31,0.22,0.13,0.05,0.19,0.06
105,0.11,0.1,0.02,0.1,0.01,0.5,0.08,0.09,0.14,0.11,0.18,0.28,0.13,0.06,0.16,0.04
106,0.11,0.1,0.05,0.06,0.0,0.48,0.22,0.07,0.12,0.06,0.2,0.23,0.18,0.06,0.19,0.06
107,0.1,0.11,0.03,0.07,0.0,0.6,0.09,0.08,0.15,0.06,0.14,0.28,0.13,0.07,0.17,0.06
108,0.09,0.13,0.02,0.04,0.0,0.48,0.24,0.12,0.1,0.1,0.15,0.21,0.08,0.02,0.11,0.04
109,0.12,0.09,0.05,0.05,0.05,0.45,0.21,0.15,0.1,0.07,0.13,0.19,0.09,0.04,0.18,0.07
110,0.11,0.08,0.02,0.04,0.0,0.51,0.08,0.09,0.1,0.08,0.08,0.19,0.09,0.03,0.23,0.05
111,0.15,0.09,0.03,0.05,0.03,0.42,0.1,0.12,0.1,0.13,0.13,0.25,0.11,0.06,0.1,0.06
112,0.07,0.1,0.02,0.05,0.01,0.43,0.29,0.06,0.12,0.09,0.16,0.2,0.08,0.07,0.16,0.03
113,0.12,0.06,0.01,0.02,0.01,0.45,0.18,0.12,0.11,0.06,0.26,0.23,0.09,0.04,0.12,0.07
114,0.2,0.11,0.08,0.05,0.0,0.52,0.1,0.04,0.15,0.04,0.13,0.2,0.03,0.06,0.09,0.07
115,0.13,0.12,0.05,0.02,0.0,0.46,0.11,0.07,0.11,0.08,0.09,0.2,0.09,0.04,0.15,0.05
116,0.1,0.06,0.0,0.04,0.0,0.53,0.17,0.03,0.06,0.06,0.19,0.22,0.04,0.06,0.18,0.03
117,0.05,0.07,0.04,0.04,0.0,0.31,0.18,0.15,0.09,0.11,0.19,0.18,0.11,0.04,0.15,0.05
118,0.07,0.08,0.02,0.05,0.0,0.57,0.21,0.06,0.12,0.13,0.18,0.28,0.12,0.06,0.18,0.08
119,0.11,0.08,0.01,0.1,0.0,0.52,0.06,0.11,0.16,0.15,0.13,0.31,0.19,0.06,0.14,0.08
120,0.14,0.06,0.06,0.04,0.0,0.46,0.15,0.16,0.13,0.23,0.22,0.24,0.14,0.07,0.13,0.12
121,0.08,0.1,0.05,0.09,0.05,0.69,0.08,0.12,0.06,0.1,0.16,0.31,0.12,0.04,0.18,0.1
122,0.11,0.12,0.05,0.09,0.0,0.47,0.11,0.06,0.17,0.3,0.22,0.25,0.12,0.1,0.19,0.1
123,0.09,0.13,0.04,0.09,0.0,0.54,0.15,0.08,0.11,0.12,0.21,0.29,0.08,0.07,0.12,0.1
124,0.1,0.11,0.03,0.1,0.01,0.53,0.16,0.13,0.14,0.08,0.2,0.34,0.18,0.02,0.2,0.07
125,0.08,0.09,0.02,0.09,0.03,0.5,0.09,0.08,0.1,0.35,0.33,0.24,0.12,0.11,0.17,0.08
126,0.04,0.12,0.04,0.1,0.0,0.59,0.19,0.11,0.11,0.05,0.16,0.24,0.13,0.09,0.15,0.05
127,0.12,0.1,0.04,0.03,0.0,0.5,0.23,0.09,0.09,0.07,0.15,0.25,0.08,0.03,0.18,0.05
128,0.08,0.06,0.03,0.06,0.0,0.62,0.19,0.07,0.07,0.08,0.09,0.28,0.05,0.03,0.19,0.07
129,0.14,0.08,0.04,0.04,0.0,0.41,0.08,0.09,0.04,0.15,0.2,0.17,0.06,0.05,0.15,0.1
130,0.1,0.09,0.02,0.14,0.0,0.42,0.15,0.29,0.15,0.06,0.2,0.21,0.13,0.06,0.12,0.09
131,0.09,0.08,0.03,0.06,0.0,0.46,0.21,0.11,0.06,0.02,0.12,0.19,0.1,0.06,0.34,0.05
132,0.09,0.07,0.03,0.04,0.0,0.55,0.12,0.03,0.08,0.07,0.14,0.24,0.08,0.05,0.14,0.05
133,0.13,0.11,0.0,0.1,0.0,0.38,0.05,0.08,0.18,0.22,0.24,0.17,0.09,0.05,0.07,0.04
134,0.08,0.04,0.01,0.06,0.0,0.39,0.19,0.13,0.05,0.07,0.2,0.22,0.06,0.04,0.2,0.02
135,0.14,0.12,0.03,0.03,0.01,0.49,0.17,0.04,0.09,0.1,0.16,0.26,0.1,0.09,0.15,0.08
136,0.11,0.11,0.04,0.1,0.0,0.41,0.03,0.03,0.09,0.16,0.22,0.12,0.12,0.05,0.15,0.07
137,0.16,0.16,0.05,0.05,0.0,0.53,0.14,0.17,0.1,0.14,0.19,0.28,0.15,0.05,0.19,0.11
138,0.12,0.07,0.02,0.11,0.0,0.58,0.3,0.12,0.1,0.13,0.23,0.24,0.14,0.03,0.17,0.11
139,0.09,0.14,0.06,0.14,0.0,0.51,0.17,0.05,0.06,0.19,0.28,0.23,0.22,0.1,0.14,0.14
140,0.07,0.1,0.02,0.11,0.0,0.55,0.1,0.1,0.15,0.1,0.21,0.22,0.12,0.04,0.14,0.05
141,0.06,0.09,0.02,0.16,0.0,0.66,0.17,0.08,0.11,0.12,0.22,0.22,0.17,0.05,0.11,0.09
142,0.09,0.1,0.07,0.07,0.0,0.53,0.16,0.1,0.15,0.15,0.23,0.31,0.12,0.04,0.22,0.09
143,0.13,0.14,0.04,0.09,0.0,0.69,0.16,0.13,0.13,0.07,0.13,0.18,0.14,0.06,0.29,0.07
