benchmark,task ,t0_3b,t0pp,falcon-7b-instruct,mpt-7b-instruct,alpaca-7b,alpaca-13b,flan-t5-small,flan-t5-base,flan-t5-large,flan-t5-xl,flan-t5-xxl,airoboros-13b,nous-hermes-13b,ultralm-13b,vicuna-13b,minotaur-15b
lmentry,all words from category,0.8,0.99,0.69,0.59,0.78,0.78,0.65,0.72,0.71,0.92,0.99,0.79,0.98,0.81,0.96,0.9
lmentry,any words from category,0.59,0.66,0.84,0.62,0.91,0.91,0.63,0.87,0.98,0.98,1.0,0.89,0.6,0.84,0.85,0.6
lmentry,ends with word,0.91,0.82,0.58,0.72,0.88,0.96,0.83,0.36,0.87,0.92,0.99,0.73,0.67,0.74,0.56,0.73
lmentry,first alphabetically,0.6,0.61,0.64,0.59,0.58,0.79,0.62,0.63,0.59,0.64,0.61,0.58,0.68,0.51,0.67,0.65
lmentry,homophones,0.6,0.59,0.73,0.53,0.8,0.61,0.66,0.67,0.62,0.67,0.87,0.5,0.69,0.33,0.88,0.16
lmentry,less letters,0.59,0.63,0.6,0.64,0.61,0.67,0.58,0.53,0.63,0.69,0.84,0.66,0.75,0.7,0.78,0.72
lmentry,more letters,0.61,0.69,0.7,0.67,0.72,0.72,0.62,0.66,0.7,0.78,0.85,0.77,0.8,0.81,0.79,0.81
lmentry,rhyming word,0.61,0.57,0.74,0.54,0.6,0.62,0.53,0.58,0.58,0.65,0.69,0.51,0.53,0.16,0.74,0.11
lmentry,word before,0.32,0.35,0.19,0.34,0.38,0.29,0.34,0.34,0.41,0.34,0.41,0.29,0.37,0.02,0.42,0.34
lmentry,word not containing ,0.6153846153846154,0.7692307692307693,0.9615384615384616,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.8846153846153846,0.8846153846153846,0.9230769230769231,1.0,1.0,0.8076923076923077,0.8846153846153846,0.8076923076923077,0.8461538461538461,0.5
big-bench-hard,causal_judgement,,0.69,0.58,0.65,,0.71,,,,0.69,0.7,0.61,0.71,0.68,0.69,0.44
big-bench-hard,disambiguation_qa,,0.48,0.53,0.38,,0.63,,,,0.76,0.76,0.63,0.59,0.65,0.68,0.6
big-bench-hard,formal_fallacies,,0.59,0.56,0.4,,0.57,,,,0.63,0.62,0.39,0.54,0.53,0.57,0.02
big-bench-hard,geometric_shapes,,0.38,0.36,0.31,,0.4,,,,0.38,0.44,0.44,0.3,0.2,0.42,0.12
big-bench-hard,hyperbaton,,0.42,0.63,0.57,,0.64,,,,0.74,0.73,0.68,0.73,0.7,0.65,0.6
big-bench-hard,logical_deduction_five_objects,,0.35,0.31,0.28,,0.42,,,,0.57,0.63,0.39,0.35,0.34,0.45,0.23
big-bench-hard,logical_deduction_seven_objects,,0.36,0.26,0.19,,0.31,,,,0.59,0.7,0.32,0.25,0.28,0.4,0.21
big-bench-hard,logical_deduction_three_objects,,0.44,0.46,0.4,,0.56,,,,0.72,0.76,0.51,0.5,0.48,0.55,0.44
big-bench-hard,movie_recommendation,,0.26,0.31,0.42,,0.49,,,,0.76,0.76,0.62,0.73,0.77,0.69,0.38
big-bench-hard,navigate,,0.64,0.63,0.54,,0.6,,,,0.63,0.68,0.53,0.61,0.04,0.66,0.17
big-bench-hard,penguins_in_a_table,,0.33,0.31,0.25,,0.37,,,,0.46,0.55,0.4,0.31,0.35,0.47,0.3
big-bench-hard,ruin_names,,0.17,0.32,0.28,,0.32,,,,0.43,0.65,0.31,0.41,0.33,0.52,0.39
big-bench-hard,salient_translation_error_detection,,0.25,0.28,0.22,,0.26,,,,0.46,0.42,0.32,0.29,0.16,0.42,0.13
big-bench-hard,snarks,,0.18,0.58,0.61,,0.56,,,,0.74,0.8,0.56,0.69,0.54,0.75,0.47
big-bench-hard,sports_understanding,,0.64,0.65,0.43,,0.67,,,,0.68,0.67,0.68,0.68,0.75,0.73,0.12
big-bench-lite,bbq lite,0.336402088,0.55909431,,,0.355286062,0.526430368,0.424919134,0.561893506,0.648544414,0.783963673,0.853072904,,,,,
big-bench-lite,code line description,0.649999976,0.783333361,,,0.78125,0.90625,0.4,0.600000024,0.75,0.766666667,0.883333333,,,,,
big-bench-lite,conceptual combinations,,0.7864077687263489,,,0.663461566,0.663461566,0.5825243,0.786407769,0.728155315,0.776699007,0.805825233,,,,,
big-bench-lite,hindu knowledge,0.371428579,0.5657143,,,0.556818187,0.653409064,0.411428571,0.371428571,0.417142857,0.542857143,0.6,,,,,
big-bench-lite,known unknown,0.673913062,0.826086938,,,0.791666687,0.916666687,0.608695652,0.717391312,0.782608696,0.760869565,0.869565217,,,,,
big-bench-lite,language identification,0.154400006,0.165399998,,,0.171200007,0.225600004,0.0969,0.142100006,0.238,0.2992,0.3852,,,,,
big-bench-lite,logic grid puzzle,,0.4099999964237213,,,0.277999997,0.30399999,0.305999994,0.338,0.375,0.42899999,0.469000012,,,,,
big-bench-lite,logical deduction,0.312000006,0.477999985,,,0.271825403,0.303571433,0.206,0.326000005,0.49,0.534,0.588,,,,,
big-bench-lite,novel concepts,0.21875,0.40625,,,0.53125,0.25,0.25,0.21875,0.375,0.375,0.5625,,,,,
big-bench-lite,play dialog,0.63204658,0.630821049,,,0.630821049,0.631127477,0.630821078,0.630821049,0.630821078,0.630514706,0.630514706,,,,,
big-bench-lite,strange stories,0.471698105,0.547169805,,,0.821428597,0.678571403,0.924528302,0.490566045,0.79245283,0.886792481,0.867924511,,,,,
big-bench-lite,strategic qa,0.532751083,0.55720526,,,0.58449477,0.634581864,0.53231442,0.5423581,0.60349345,0.7,0.699126638,,,,,
big-bench-lite,vitaminc fact verification,0.593528211,0.71112901,,,0.241458148,0.579272747,0.496872028,0.663550913,0.374789639,0.81826663,0.820278764,,,,,
big-bench-lite,winowhy,0.449912727,0.680279255,,,0.563022256,0.611420631,0.62408377,0.653403163,0.604188482,0.697731239,0.705759162,,,,,
