paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.18,0.12,0.57,0.57,0.08,0.29,0.3,0.09,0.22,0.37,0.0
2,0.2,0.12,0.52,0.56,0.0,0.32,0.31,0.0,0.16,0.39,0.01
3,0.25,0.12,0.5,0.51,0.03,0.33,0.31,0.05,0.21,0.31,0.01
4,0.2,0.16,0.52,0.53,0.0,0.29,0.27,0.07,0.15,0.39,0.02
5,0.22,0.16,0.52,0.54,0.0,0.33,0.32,0.03,0.21,0.29,0.0
6,0.22,0.15,0.52,0.56,0.05,0.32,0.26,0.0,0.21,0.38,0.0
7,0.2,0.22,0.51,0.53,0.0,0.27,0.32,0.0,0.16,0.35,0.0
8,0.24,0.22,0.47,0.5,0.0,0.29,0.35,0.02,0.19,0.42,0.01
9,0.17,0.18,0.52,0.51,0.05,0.32,0.3,0.0,0.26,0.37,0.0
10,0.23,0.1,0.48,0.54,0.0,0.26,0.32,0.02,0.23,0.34,0.0
11,0.24,0.19,0.47,0.56,0.0,0.25,0.3,0.04,0.24,0.31,0.0
12,0.24,0.11,0.53,0.57,0.08,0.25,0.23,0.08,0.2,0.36,0.01
13,0.3,0.12,0.5,0.51,0.0,0.29,0.27,0.07,0.24,0.34,0.01
14,0.2,0.16,0.49,0.55,0.0,0.29,0.31,0.02,0.26,0.35,0.0
15,0.19,0.19,0.5,0.6,0.0,0.29,0.32,0.01,0.27,0.36,0.02
16,0.23,0.09,0.52,0.51,0.0,0.29,0.32,0.07,0.16,0.4,0.0
17,0.19,0.18,0.48,0.55,0.0,0.32,0.33,0.01,0.19,0.35,0.0
18,0.16,0.14,0.53,0.5,0.0,0.27,0.3,0.0,0.22,0.37,0.01
19,0.27,0.17,0.57,0.55,0.0,0.33,0.29,0.17,0.2,0.31,0.0
20,0.28,0.19,0.52,0.53,0.0,0.3,0.35,0.02,0.19,0.34,0.0
21,0.19,0.1,0.52,0.52,0.08,0.26,0.25,0.03,0.24,0.36,0.0
22,0.2,0.18,0.54,0.56,0.0,0.33,0.31,0.0,0.18,0.34,0.0
23,0.19,0.15,0.53,0.55,0.01,0.33,0.34,0.0,0.18,0.3,0.0
24,0.22,0.11,0.5,0.57,0.07,0.28,0.33,0.01,0.23,0.37,0.0
25,0.24,0.09,0.54,0.52,0.0,0.3,0.34,0.0,0.23,0.35,0.0
26,0.21,0.21,0.51,0.55,0.01,0.27,0.33,0.01,0.22,0.33,0.0
27,0.19,0.14,0.51,0.58,0.02,0.36,0.37,0.07,0.21,0.45,0.02
28,0.23,0.16,0.48,0.5,0.0,0.33,0.33,0.0,0.23,0.24,0.02
29,0.22,0.11,0.53,0.53,0.04,0.32,0.33,0.01,0.11,0.31,0.02
30,0.22,0.09,0.54,0.51,0.04,0.29,0.31,0.09,0.11,0.34,0.0
31,0.21,0.13,0.54,0.53,0.04,0.32,0.25,0.13,0.14,0.39,0.02
32,0.26,0.11,0.51,0.53,0.0,0.24,0.33,0.06,0.28,0.28,0.02
33,0.24,0.13,0.51,0.5,0.03,0.34,0.28,0.09,0.07,0.34,0.01
34,0.17,0.16,0.53,0.5,0.0,0.27,0.31,0.0,0.19,0.33,0.0
35,0.2,0.1,0.53,0.56,0.0,0.26,0.28,0.04,0.19,0.27,0.01
36,0.2,0.15,0.49,0.58,0.0,0.28,0.32,0.02,0.21,0.35,0.01
37,0.22,0.2,0.49,0.56,0.03,0.27,0.3,0.07,0.17,0.34,0.0
38,0.27,0.11,0.5,0.55,0.0,0.3,0.32,0.06,0.23,0.34,0.01
39,0.17,0.15,0.48,0.51,0.0,0.27,0.31,0.02,0.15,0.4,0.01
40,0.19,0.14,0.55,0.55,0.04,0.3,0.28,0.06,0.18,0.31,0.0
